id_master_country;date_in;date_out;population;pib
un504;1995-01-01;1995-12-31;26928600;76172244807.0124
un508;1995-01-01;1995-12-31;15933452;6689957889.52727
un512;1995-01-01;1995-12-31;2232018;43135054488.7122
un516;1995-01-01;1995-12-31;1651352;6313307433.66336
un520;1995-01-01;1995-12-31;9970;83700861.152468
un524;1995-01-01;1995-12-31;21594872;20915798925.4338
un528;1995-01-01;1995-12-31;15422165;422936766959.738
un533;1995-01-01;1995-12-31;80323;2036981870.13019
un540;1995-01-01;1995-12-31;190756;7044263281.79726
un548;1995-01-01;1995-12-31;168263;598279034.983126
un554;1995-01-01;1995-12-31;3675060;75932162691.8564
un558;1995-01-01;1995-12-31;4637040;9986738823.33621
un562;1995-01-01;1995-12-31;9178575;5300461082.29212
un566;1995-01-01;1995-12-31;110014688;171767275088.032
un570;1995-01-01;1995-12-31;2168;
un574;1995-01-01;1995-12-31;;
un578;1995-01-01;1995-12-31;4359096;161177694738.37
un580;1995-01-01;1995-12-31;57517;405515674.626783
un583;1995-01-01;1995-12-31;107233;634664840.893348
un584;1995-01-01;1995-12-31;51008;362781353.847082
un585;1995-01-01;1995-12-31;17254;226993108.883444
un586;1995-01-01;1995-12-31;127346713;259577905928.464
un591;1995-01-01;1995-12-31;2676926;18525621543.3467
un598;1995-01-01;1995-12-31;4715617;9922532087.35529
un600;1995-01-01;1995-12-31;4795365;20706590706.7683
un604;1995-01-01;1995-12-31;23827163;129949888286.798
un608;1995-01-01;1995-12-31;69255386;165083314227.379
un612;1995-01-01;1995-12-31;61;
un616;1995-01-01;1995-12-31;38391778;345022777523.995
un620;1995-01-01;1995-12-31;10124943;166928278449.536
un624;1995-01-01;1995-12-31;1125392;848574239.551504
un626;1995-01-01;1995-12-31;852817;2718818884.60294
un630;1995-01-01;1995-12-31;3701618;60133494810.744
un634;1995-01-01;1995-12-31;501371;20585425681.2363
un638;1995-01-01;1995-12-31;675664;3886606776.3793
un642;1995-01-01;1995-12-31;22680954;169810004018.824
un643;1995-01-01;1995-12-31;148698582;1167460359123.6
un646;1995-01-01;1995-12-31;5570206;3238440153.33305
un652;1995-01-01;1995-12-31;;
un654;1995-01-01;1995-12-31;5261;11893900.698034
un659;1995-01-01;1995-12-31;43121;462514902.078488
un660;1995-01-01;1995-12-31;9805;126367759.413797
un662;1995-01-01;1995-12-31;147067;1154735409.78895
un663;1995-01-01;1995-12-31;;
un666;1995-01-01;1995-12-31;6301;
un670;1995-01-01;1995-12-31;108087;509466595.388637
un674;1995-01-01;1995-12-31;25678;828692474.300474
un678;1995-01-01;1995-12-31;127935;176932724.350174
un682;1995-01-01;1995-12-31;18491845;391337635079.498
un686;1995-01-01;1995-12-31;8369125;11156304648.974
un688;1995-01-01;1995-12-31;10203932;71551923221.1933
un690;1995-01-01;1995-12-31;74755;978060904.604453
un694;1995-01-01;1995-12-31;3898363;3777510024.06319
un702;1995-01-01;1995-12-31;3481674;107212838179.691
un703;1995-01-01;1995-12-31;5368894;57768416851.3867
un704;1995-01-01;1995-12-31;74008073;89412340343.7413
un705;1995-01-01;1995-12-31;1966205;31178672624.8776
un706;1995-01-01;1995-12-31;6524697;6214804268.21275
un710;1995-01-01;1995-12-31;41402400;302411436571.621
